Ep,NFC,SR_testMAXCPU,DELAY_TOLERANCE,MINI_BATCH
1,0,38.76651982378855,10,10,4
2,26,40.08810572687225,10,10,4
3,55,62.99559471365639,10,10,4
4,87,77.97356828193833,10,10,4
5,112,81.05726872246696,10,10,4
6,133,81.4977973568282,10,10,4
7,155,81.93832599118943,10,10,4
8,182,82.81938325991189,10,10,4
9,218,83.25991189427313,10,10,4
10,246,83.70044052863436,10,10,4
11,276,85.02202643171806,10,10,4
12,300,87.66519823788546,10,10,4
13,300,85.46255506607929,10,10,4
14,300,85.46255506607929,10,10,4
15,391,88.54625550660793,10,10,4
16,391,86.34361233480176,10,10,4
17,391,85.46255506607929,10,10,4
18,391,86.34361233480176,10,10,4
19,391,87.22466960352423,10,10,4
20,391,86.34361233480176,10,10,4
21,566,88.98678414096916,10,10,4
22,592,89.42731277533039,10,10,4
23,592,89.42731277533039,10,10,4
24,658,89.86784140969164,10,10,4
25,658,87.22466960352423,10,10,4
26,658,86.78414096916299,10,10,4
27,658,88.54625550660793,10,10,4
28,658,88.98678414096916,10,10,4
29,810,90.30837004405286,10,10,4
30,839,91.18942731277532,10,10,4
31,839,90.30837004405286,10,10,4
32,839,90.30837004405286,10,10,4
33,839,90.30837004405286,10,10,4
34,839,90.30837004405286,10,10,4
35,839,90.30837004405286,10,10,4
36,839,90.7488986784141,10,10,4
37,839,89.86784140969164,10,10,4
38,839,88.54625550660793,10,10,4
39,839,90.7488986784141,10,10,4
40,839,91.18942731277532,10,10,4
41,1157,91.62995594713657,10,10,4
42,1157,90.7488986784141,10,10,4
43,1157,90.30837004405286,10,10,4
44,1243,92.07048458149781,10,10,4
45,1243,92.07048458149781,10,10,4
46,1308,92.51101321585902,10,10,4
47,1308,92.07048458149781,10,10,4
48,1308,92.07048458149781,10,10,4
49,1387,92.95154185022027,10,10,4
50,1387,92.51101321585902,10,10,4
