CPU,DELAY_TOLERANCE,Guided,MINI_BATCH,Epochs,Eout,NFC
10.000,10.000,1.000,4.000,50.000,92.952,1387.000
10.000,10.000,1.000,4.000,50.000,90.749,298.000
10.000,10.000,1.000,4.000,50.000,90.749,1413.000
10.000,10.000,1.000,4.000,50.000,92.952,1209.000
10.000,10.000,1.000,4.000,50.000,93.392,82.000
10.000,10.000,1.000,4.000,50.000,93.392,1427.000
10.000,10.000,1.000,4.000,50.000,94.273,1389.000
10.000,10.000,1.000,4.000,50.000,94.273,275.000
10.000,10.000,1.000,4.000,50.000,89.868,1271.000
10.000,10.000,1.000,4.000,50.000,92.511,1345.000
10.000,10.000,1.000,4.000,50.000,93.392,1225.000
10.000,10.000,1.000,4.000,50.000,93.392,1120.000
10.000,10.000,1.000,4.000,50.000,94.273,686.000
10.000,10.000,1.000,4.000,50.000,93.833,467.000
10.000,10.000,1.000,4.000,50.000,92.511,1148.000
10.000,10.000,1.000,4.000,50.000,91.189,764.000
10.000,10.000,1.000,4.000,50.000,93.833,1398.000
10.000,10.000,1.000,4.000,50.000,94.273,87.000
10.000,10.000,1.000,4.000,50.000,88.987,1448.000
10.000,10.000,1.000,4.000,50.000,92.070,1329.000
10.000,10.000,1.000,4.000,50.000,93.833,395.000
10.000,10.000,1.000,4.000,50.000,93.833,813.000
10.000,10.000,1.000,4.000,50.000,92.952,997.000
10.000,10.000,1.000,4.000,50.000,95.595,781.000
10.000,10.000,1.000,4.000,50.000,93.392,1224.000
10.000,10.000,1.000,4.000,50.000,91.630,1362.000
10.000,10.000,1.000,4.000,50.000,91.630,411.000
10.000,10.000,1.000,4.000,50.000,93.833,1335.000
10.000,10.000,1.000,4.000,50.000,94.714,719.000
10.000,10.000,1.000,4.000,50.000,92.511,1391.000
10.000,10.000,0.000,4.000,50.000,86.784,333.000
10.000,10.000,0.000,4.000,50.000,92.070,429.000
10.000,10.000,0.000,4.000,50.000,87.225,324.000
10.000,10.000,0.000,4.000,50.000,92.070,371.000
10.000,10.000,0.000,4.000,50.000,91.189,229.000
10.000,10.000,0.000,4.000,50.000,91.630,268.000
10.000,10.000,0.000,4.000,50.000,94.273,309.000
10.000,10.000,0.000,4.000,50.000,95.595,400.000
10.000,10.000,0.000,4.000,50.000,91.189,84.000
10.000,10.000,0.000,4.000,50.000,93.833,129.000
10.000,10.000,0.000,4.000,50.000,92.952,181.000
10.000,10.000,0.000,4.000,50.000,93.392,381.000
10.000,10.000,0.000,4.000,50.000,92.952,245.000
10.000,10.000,0.000,4.000,50.000,91.189,375.000
10.000,10.000,0.000,4.000,50.000,89.427,455.000
10.000,10.000,0.000,4.000,50.000,90.308,309.000
10.000,10.000,0.000,4.000,50.000,92.952,412.000
10.000,10.000,0.000,4.000,50.000,92.070,368.000
10.000,10.000,0.000,4.000,50.000,90.308,74.000
10.000,10.000,0.000,4.000,50.000,92.070,192.000
10.000,10.000,0.000,4.000,50.000,94.273,392.000
10.000,10.000,0.000,4.000,50.000,91.630,424.000
10.000,10.000,0.000,4.000,50.000,91.189,60.000
10.000,10.000,0.000,4.000,50.000,95.154,210.000
10.000,10.000,0.000,4.000,50.000,88.987,402.000
10.000,10.000,0.000,4.000,50.000,91.189,280.000
10.000,10.000,0.000,4.000,50.000,90.749,125.000
10.000,10.000,0.000,4.000,50.000,91.630,205.000
10.000,10.000,0.000,4.000,50.000,93.833,352.000
10.000,10.000,0.000,4.000,50.000,90.749,331.000
