Ep,NFC,SR_testMAXCPU,DELAY_TOLERANCE,MINI_BATCH
1,0,38.76651982378855,10,10,4
2,31,82.37885462555066,10,10,4
3,67,92.51101321585902,10,10,4
4,67,90.7488986784141,10,10,4
5,67,87.66519823788546,10,10,4
6,67,91.62995594713657,10,10,4
7,177,92.95154185022027,10,10,4
8,177,91.62995594713657,10,10,4
9,177,89.86784140969164,10,10,4
10,177,92.51101321585902,10,10,4
11,288,93.3920704845815,10,10,4
12,288,93.3920704845815,10,10,4
13,288,93.3920704845815,10,10,4
14,288,91.18942731277532,10,10,4
15,288,89.42731277533039,10,10,4
16,288,92.51101321585902,10,10,4
17,288,93.3920704845815,10,10,4
18,481,93.83259911894272,10,10,4
19,481,93.83259911894272,10,10,4
20,481,93.83259911894272,10,10,4
21,481,92.95154185022027,10,10,4
22,481,92.95154185022027,10,10,4
23,481,92.51101321585902,10,10,4
24,481,93.83259911894272,10,10,4
25,481,93.3920704845815,10,10,4
26,705,94.27312775330397,10,10,4
27,705,93.83259911894272,10,10,4
28,705,94.27312775330397,10,10,4
29,705,94.27312775330397,10,10,4
30,705,94.27312775330397,10,10,4
31,705,94.27312775330397,10,10,4
32,705,94.27312775330397,10,10,4
33,705,94.27312775330397,10,10,4
34,921,94.7136563876652,10,10,4
35,921,94.7136563876652,10,10,4
36,921,94.7136563876652,10,10,4
37,921,94.27312775330397,10,10,4
38,1033,95.15418502202643,10,10,4
39,1033,94.27312775330397,10,10,4
40,1098,95.59471365638767,10,10,4
41,1098,94.7136563876652,10,10,4
42,1098,95.15418502202643,10,10,4
43,1098,94.7136563876652,10,10,4
44,1098,95.15418502202643,10,10,4
45,1098,95.59471365638767,10,10,4
46,1098,95.59471365638767,10,10,4
47,1098,95.59471365638767,10,10,4
48,1098,95.15418502202643,10,10,4
49,1098,95.15418502202643,10,10,4
50,1380,96.0352422907489,10,10,4
