CPU,DELAY_TOLERANCE,Guided,MINI_BATCH,Epochs,Eout,NFC
10.000,10.000,1.000,4.000,50.000,96.035,1380.000
10.000,10.000,1.000,4.000,50.000,96.035,1061.000
10.000,10.000,1.000,4.000,50.000,92.511,1297.000
10.000,10.000,0.000,4.000,50.000,95.595,386.000
10.000,10.000,0.000,4.000,50.000,93.392,249.000
10.000,10.000,0.000,4.000,50.000,92.070,100.000
10.000,10.000,1.000,4.000,50.000,95.595,1222.000
10.000,10.000,1.000,4.000,50.000,96.035,1383.000
10.000,10.000,1.000,4.000,50.000,91.630,1365.000
10.000,10.000,1.000,4.000,50.000,96.035,1186.000
10.000,10.000,1.000,4.000,50.000,95.595,1060.000
10.000,10.000,1.000,4.000,50.000,92.511,1215.000
10.000,10.000,1.000,4.000,50.000,94.714,943.000
10.000,10.000,1.000,4.000,50.000,96.916,1253.000
10.000,10.000,1.000,4.000,50.000,95.595,1098.000
10.000,10.000,1.000,4.000,50.000,97.797,1275.000
10.000,10.000,0.000,4.000,50.000,95.154,367.000
10.000,10.000,0.000,4.000,50.000,94.714,413.000
10.000,10.000,0.000,4.000,50.000,91.189,407.000
10.000,10.000,0.000,4.000,50.000,93.392,194.000
10.000,10.000,0.000,4.000,50.000,95.154,370.000
10.000,10.000,0.000,4.000,50.000,94.714,152.000
10.000,10.000,0.000,4.000,50.000,95.154,323.000
10.000,10.000,0.000,4.000,50.000,94.273,370.000
10.000,10.000,0.000,4.000,50.000,93.392,284.000
10.000,10.000,0.000,4.000,50.000,92.952,349.000
10.000,10.000,0.000,4.000,50.000,93.833,92.000
10.000,10.000,0.000,4.000,50.000,93.833,374.000
10.000,10.000,0.000,4.000,50.000,94.273,421.000
10.000,10.000,0.000,4.000,50.000,93.392,204.000
10.000,10.000,0.000,4.000,50.000,95.154,388.000
10.000,10.000,0.000,4.000,50.000,91.630,376.000
10.000,10.000,0.000,4.000,50.000,93.833,422.000
10.000,10.000,0.000,4.000,50.000,94.273,420.000
10.000,10.000,0.000,4.000,50.000,93.833,397.000
10.000,10.000,0.000,4.000,50.000,94.273,385.000
10.000,10.000,0.000,4.000,50.000,93.833,236.000
10.000,10.000,0.000,4.000,50.000,90.308,33.000
10.000,10.000,0.000,4.000,50.000,92.952,365.000
10.000,10.000,0.000,4.000,50.000,94.273,332.000
10.000,10.000,0.000,4.000,50.000,90.749,428.000
10.000,10.000,0.000,4.000,50.000,92.511,406.000
10.000,10.000,0.000,4.000,50.000,93.833,229.000
10.000,10.000,1.000,4.000,50.000,96.035,1438.000
10.000,10.000,1.000,4.000,50.000,96.035,1087.000
10.000,10.000,1.000,4.000,50.000,93.392,1309.000
10.000,10.000,1.000,4.000,50.000,95.154,1163.000
10.000,10.000,1.000,4.000,50.000,95.154,780.000
10.000,10.000,1.000,4.000,50.000,96.035,1078.000
10.000,10.000,1.000,4.000,50.000,96.916,1214.000
10.000,10.000,1.000,4.000,50.000,95.595,922.000
10.000,10.000,1.000,4.000,50.000,94.273,1284.000
10.000,10.000,1.000,4.000,50.000,95.154,1370.000
10.000,10.000,1.000,4.000,50.000,94.273,923.000
10.000,10.000,1.000,4.000,50.000,95.154,1226.000
10.000,10.000,1.000,4.000,50.000,95.154,1180.000
10.000,10.000,1.000,4.000,50.000,95.154,936.000
10.000,10.000,1.000,4.000,50.000,95.595,1205.000
10.000,10.000,1.000,4.000,50.000,93.392,462.000
10.000,10.000,1.000,4.000,50.000,96.035,1155.000
10.000,10.000,1.000,4.000,50.000,93.833,1153.000
10.000,10.000,1.000,4.000,50.000,93.392,1328.000
10.000,10.000,1.000,4.000,50.000,96.476,1403.000
3.000,5.000,0.000,4.000,20.000,38.767,0.000
3.000,5.000,0.000,4.000,20.000,93.392,375.000
3.000,5.000,0.000,4.000,20.000,94.273,340.000
3.000,5.000,0.000,4.000,20.000,95.154,415.000
3.000,5.000,0.000,4.000,20.000,95.595,171.000
3.000,5.000,0.000,4.000,20.000,94.714,465.000
3.000,5.000,0.000,4.000,20.000,90.749,218.000
3.000,5.000,0.000,4.000,20.000,92.952,258.000
3.000,5.000,0.000,4.000,20.000,93.833,444.000
