Ep,NFC,SR_testMAXCPU,DELAY_TOLERANCE,MINI_BATCH
1,0,38.76651982378855,10,10,4
2,21,74.00881057268722,10,10,4
3,59,82.81938325991189,10,10,4
4,88,92.51101321585902,10,10,4
5,118,92.95154185022027,10,10,4
6,118,82.81938325991189,10,10,4
7,118,92.07048458149781,10,10,4
8,118,88.98678414096916,10,10,4
9,232,96.47577092511013,10,10,4
10,232,92.51101321585902,10,10,4
11,232,90.7488986784141,10,10,4
12,317,96.91629955947137,10,10,4
13,317,94.7136563876652,10,10,4
14,317,93.3920704845815,10,10,4
15,317,94.7136563876652,10,10,4
16,317,89.86784140969164,10,10,4
17,317,93.83259911894272,10,10,4
18,317,94.27312775330397,10,10,4
19,317,96.91629955947137,10,10,4
20,317,96.47577092511013,10,10,4
21,317,93.3920704845815,10,10,4
22,317,95.15418502202643,10,10,4
23,317,94.27312775330397,10,10,4
24,317,96.91629955947137,10,10,4
25,694,98.23788546255507,10,10,4
26,694,89.42731277533039,10,10,4
27,694,95.59471365638767,10,10,4
28,694,96.0352422907489,10,10,4
29,694,96.0352422907489,10,10,4
30,694,98.23788546255507,10,10,4
31,863,98.6784140969163,10,10,4
32,863,96.0352422907489,10,10,4
33,863,97.79735682819384,10,10,4
34,863,95.59471365638767,10,10,4
35,863,98.6784140969163,10,10,4
36,863,94.7136563876652,10,10,4
37,863,97.79735682819384,10,10,4
38,863,96.47577092511013,10,10,4
39,863,98.23788546255507,10,10,4
40,863,94.27312775330397,10,10,4
41,863,98.23788546255507,10,10,4
42,863,96.91629955947137,10,10,4
43,863,96.91629955947137,10,10,4
44,863,96.91629955947137,10,10,4
45,863,95.59471365638767,10,10,4
46,863,97.3568281938326,10,10,4
47,863,96.47577092511013,10,10,4
48,863,98.23788546255507,10,10,4
49,863,96.91629955947137,10,10,4
50,863,96.47577092511013,10,10,4
