CPU,DELAY_TOLERANCE,Guided,MINI_BATCH,Epochs,Eout,NFC
10.000,10.000,1.000,4.000,50.000,98.678,863.000
10.000,10.000,1.000,4.000,50.000,99.119,1372.000
10.000,10.000,1.000,4.000,50.000,96.035,1237.000
10.000,10.000,1.000,4.000,50.000,97.797,982.000
10.000,10.000,1.000,4.000,50.000,97.357,902.000
10.000,10.000,1.000,4.000,50.000,98.678,1020.000
10.000,10.000,1.000,4.000,50.000,97.797,1076.000
10.000,10.000,1.000,4.000,50.000,98.238,698.000
10.000,10.000,1.000,4.000,50.000,96.916,1295.000
10.000,10.000,1.000,4.000,50.000,97.797,1090.000
10.000,10.000,1.000,4.000,50.000,98.678,959.000
10.000,10.000,1.000,4.000,50.000,98.678,687.000
10.000,10.000,1.000,4.000,50.000,95.595,636.000
10.000,10.000,1.000,4.000,50.000,97.797,825.000
10.000,10.000,1.000,4.000,50.000,97.357,976.000
10.000,10.000,1.000,4.000,50.000,98.238,562.000
10.000,10.000,1.000,4.000,50.000,97.357,484.000
10.000,10.000,1.000,4.000,50.000,98.678,1077.000
10.000,10.000,1.000,4.000,50.000,97.797,1235.000
10.000,10.000,1.000,4.000,50.000,97.357,570.000
10.000,10.000,1.000,4.000,50.000,97.357,674.000
10.000,10.000,1.000,4.000,50.000,97.357,980.000
10.000,10.000,1.000,4.000,50.000,97.797,1334.000
10.000,10.000,1.000,4.000,50.000,97.357,312.000
10.000,10.000,1.000,4.000,50.000,98.678,1165.000
10.000,10.000,1.000,4.000,50.000,98.678,833.000
10.000,10.000,1.000,4.000,50.000,97.797,1014.000
10.000,10.000,1.000,4.000,50.000,97.357,934.000
10.000,10.000,1.000,4.000,50.000,96.476,1016.000
10.000,10.000,1.000,4.000,50.000,97.797,968.000
10.000,10.000,0.000,4.000,50.000,97.797,344.000
10.000,10.000,0.000,4.000,50.000,96.916,431.000
10.000,10.000,0.000,4.000,50.000,92.952,454.000
10.000,10.000,0.000,4.000,50.000,96.035,431.000
10.000,10.000,0.000,4.000,50.000,94.273,308.000
10.000,10.000,0.000,4.000,50.000,96.476,397.000
10.000,10.000,0.000,4.000,50.000,96.476,220.000
10.000,10.000,0.000,4.000,50.000,97.357,241.000
10.000,10.000,0.000,4.000,50.000,94.714,368.000
10.000,10.000,0.000,4.000,50.000,97.357,465.000
10.000,10.000,0.000,4.000,50.000,96.916,325.000
10.000,10.000,0.000,4.000,50.000,95.154,324.000
10.000,10.000,0.000,4.000,50.000,95.595,290.000
10.000,10.000,0.000,4.000,50.000,96.035,282.000
10.000,10.000,0.000,4.000,50.000,96.916,421.000
10.000,10.000,0.000,4.000,50.000,96.476,373.000
10.000,10.000,0.000,4.000,50.000,96.476,418.000
10.000,10.000,0.000,4.000,50.000,96.035,466.000
10.000,10.000,0.000,4.000,50.000,94.273,405.000
10.000,10.000,0.000,4.000,50.000,96.916,453.000
10.000,10.000,0.000,4.000,50.000,97.357,413.000
10.000,10.000,0.000,4.000,50.000,96.476,450.000
10.000,10.000,0.000,4.000,50.000,95.595,365.000
10.000,10.000,0.000,4.000,50.000,97.797,370.000
10.000,10.000,0.000,4.000,50.000,96.476,406.000
10.000,10.000,0.000,4.000,50.000,94.714,377.000
10.000,10.000,0.000,4.000,50.000,95.595,432.000
10.000,10.000,0.000,4.000,50.000,96.035,404.000
10.000,10.000,0.000,4.000,50.000,97.357,270.000
10.000,10.000,0.000,4.000,50.000,95.595,308.000
